year,cell,flow,doxx,bodx,nh4x,no3x,orgn,orgp,po4x,totn,totp,tssx
1997,    90, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1998,    90, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1999,    90, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
2000,    90, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1991,    15, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1992,    15, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1993,    15, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1994,    15, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1995,    15, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1996,    15, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1997,    15, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1998,    15, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1999,    15, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
2000,    15, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1991,    14, 0.141E+02, 0.618E+04, 0.770E+04, 0.496E+04, 0.411E+05, 0.420E+04, 0.291E+04, 0.712E+04, 0.503E+05, 0.100E+05, 0.858E+04
1992,    14, 0.111E+02, 0.474E+04, 0.739E+04, 0.697E+04, 0.604E+05, 0.611E+04, 0.275E+04, 0.673E+04, 0.735E+05, 0.948E+04, 0.742E+04
1993,    14, 0.125E+02, 0.535E+04, 0.713E+04, 0.750E+04, 0.664E+05, 0.668E+04, 0.427E+04, 0.105E+05, 0.806E+05, 0.147E+05, 0.722E+04
1994,    14, 0.157E+02, 0.674E+04, 0.116E+05, 0.138E+05, 0.142E+06, 0.138E+05, 0.783E+04, 0.192E+05, 0.170E+06, 0.270E+05, 0.140E+05
1995,    14, 0.157E+02, 0.667E+04, 0.966E+04, 0.126E+05, 0.126E+06, 0.123E+05, 0.771E+04, 0.189E+05, 0.151E+06, 0.266E+05, 0.116E+05
1996,    14, 0.151E+02, 0.652E+04, 0.118E+05, 0.633E+04, 0.505E+05, 0.521E+04, 0.704E+04, 0.172E+05, 0.620E+05, 0.243E+05, 0.142E+05
1997,    14, 0.154E+02, 0.665E+04, 0.124E+05, 0.134E+05, 0.142E+06, 0.137E+05, 0.601E+04, 0.147E+05, 0.169E+06, 0.207E+05, 0.150E+05
1998,    14, 0.165E+02, 0.712E+04, 0.101E+05, 0.108E+04, 0.170E+06, 0.877E+03, 0.539E+04, 0.132E+05, 0.172E+06, 0.186E+05, 0.147E+05
1999,    14, 0.168E+02, 0.725E+04, 0.874E+04, 0.105E+04, 0.155E+06, 0.838E+03, 0.620E+04, 0.152E+05, 0.157E+06, 0.213E+05, 0.156E+05
2000,    14, 0.179E+02, 0.773E+04, 0.701E+04, 0.972E+03, 0.120E+06, 0.737E+03, 0.625E+04, 0.153E+05, 0.121E+06, 0.215E+05, 0.123E+05
1991,    31, 0.144E+03, 0.767E+05, 0.238E+06, 0.125E+06, 0.982E+04, 0.270E+05, 0.758E+04, 0.177E+05, 0.162E+06, 0.253E+05, 0.310E+06
1992,    31, 0.151E+03, 0.754E+05, 0.250E+06, 0.141E+06, 0.104E+05, 0.304E+05, 0.805E+04, 0.187E+05, 0.182E+06, 0.268E+05, 0.325E+06
1993,    31, 0.163E+03, 0.750E+05, 0.272E+06, 0.130E+06, 0.998E+04, 0.279E+05, 0.800E+04, 0.187E+05, 0.168E+06, 0.267E+05, 0.352E+06
1994,    31, 0.191E+03, 0.810E+05, 0.300E+06, 0.130E+06, 0.100E+05, 0.281E+05, 0.779E+04, 0.176E+05, 0.168E+06, 0.254E+05, 0.402E+06
1995,    31, 0.190E+03, 0.837E+05, 0.290E+06, 0.108E+06, 0.916E+04, 0.233E+05, 0.681E+04, 0.146E+05, 0.140E+06, 0.214E+05, 0.397E+06
1996,    31, 0.227E+03, 0.100E+06, 0.310E+06, 0.120E+06, 0.117E+05, 0.261E+05, 0.722E+04, 0.155E+05, 0.157E+06, 0.227E+05, 0.475E+06
1997,    31, 0.219E+03, 0.991E+05, 0.314E+06, 0.120E+06, 0.117E+05, 0.266E+05, 0.702E+04, 0.187E+05, 0.158E+06, 0.257E+05, 0.447E+06
1998,    31, 0.249E+03, 0.114E+06, 0.251E+06, 0.801E+05, 0.146E+06, 0.230E+05, 0.678E+04, 0.223E+05, 0.249E+06, 0.291E+05, 0.497E+06
1999,    31, 0.225E+03, 0.104E+06, 0.105E+06, 0.575E+05, 0.118E+06, 0.209E+05, 0.570E+04, 0.211E+05, 0.196E+06, 0.268E+05, 0.159E+06
2000,    31, 0.256E+03, 0.120E+06, 0.988E+05, 0.586E+05, 0.127E+06, 0.251E+05, 0.547E+04, 0.237E+05, 0.211E+06, 0.292E+05, 0.167E+06
1991,    12, 0.598E+01, 0.273E+04, 0.109E+05, 0.508E+04, 0.473E+04, 0.150E+04, 0.489E+03, 0.120E+04, 0.113E+05, 0.169E+04, 0.227E+05
1992,    12, 0.633E+01, 0.274E+04, 0.116E+05, 0.552E+04, 0.476E+04, 0.159E+04, 0.511E+03, 0.125E+04, 0.119E+05, 0.176E+04, 0.235E+05
1993,    12, 0.612E+01, 0.270E+04, 0.111E+05, 0.521E+04, 0.474E+04, 0.153E+04, 0.493E+03, 0.121E+04, 0.115E+05, 0.170E+04, 0.229E+05
1994,    12, 0.614E+01, 0.271E+04, 0.960E+04, 0.529E+04, 0.474E+04, 0.154E+04, 0.498E+03, 0.122E+04, 0.116E+05, 0.172E+04, 0.206E+05
1995,    12, 0.542E+01, 0.269E+04, 0.833E+04, 0.433E+04, 0.471E+04, 0.134E+04, 0.445E+03, 0.109E+04, 0.104E+05, 0.153E+04, 0.191E+05
1996,    12, 0.637E+01, 0.264E+04, 0.998E+04, 0.556E+04, 0.476E+04, 0.160E+04, 0.509E+03, 0.125E+04, 0.119E+05, 0.175E+04, 0.211E+05
1997,    12, 0.569E+01, 0.235E+04, 0.879E+04, 0.467E+04, 0.472E+04, 0.141E+04, 0.460E+03, 0.113E+04, 0.108E+05, 0.159E+04, 0.196E+05
1998,    12, 0.630E+01, 0.261E+04, 0.768E+04, 0.289E+04, 0.789E+04, 0.105E+04, 0.512E+03, 0.125E+04, 0.118E+05, 0.177E+04, 0.210E+05
