     cell,doxx,temp,chla,flow,po4x,nh4x,no3x,totn,totp,orgp,orgn,pipx,tocx,tssx,sand,silt,clay,phyt
    52, 0.954E+01, 0.108E+02, 0.000E+00, 0.319E+03, 0.120E+04, 0.462E+04, 0.208E+05, 0.374E+05, 0.195E+04, 0.565E+03, 0.120E+05, 0.190E+03, 0.172E+06, 0.449E+06, 0.200E+05, 0.258E+06, 0.172E+06, 0.000E+00
    56, 0.955E+01, 0.108E+02, 0.000E+00, 0.136E+04, 0.525E+04, 0.112E+05, 0.718E+05, 0.136E+06, 0.748E+04, 0.140E+04, 0.531E+05, 0.821E+03, 0.777E+06, 0.225E+07, 0.100E+06, 0.129E+07, 0.858E+06, 0.000E+00
    87, 0.948E+01, 0.108E+02, 0.000E+00, 0.808E+02, 0.619E+02, 0.855E+03, 0.246E+04, 0.491E+04, 0.204E+03, 0.102E+03, 0.159E+04, 0.402E+02, 0.223E+05, 0.419E+05, 0.187E+04, 0.240E+05, 0.160E+05, 0.000E+00
    44, 0.951E+01, 0.108E+02, 0.000E+00, 0.185E+03, 0.171E+03, 0.166E+04, 0.558E+04, 0.112E+05, 0.474E+03, 0.194E+03, 0.393E+04, 0.109E+03, 0.560E+05, 0.116E+06, 0.516E+04, 0.664E+05, 0.442E+05, 0.000E+00
    41, 0.947E+01, 0.108E+02, 0.000E+00, 0.317E+01, 0.364E+01, 0.898E+02, 0.202E+03, 0.353E+03, 0.157E+02, 0.106E+02, 0.613E+02, 0.146E+01, 0.748E+03, 0.121E+04, 0.541E+02, 0.695E+03, 0.463E+03, 0.000E+00
    49, 0.946E+01, 0.110E+02, 0.000E+00, 0.307E+03, 0.170E+03, 0.465E+04, 0.940E+04, 0.196E+05, 0.765E+03, 0.452E+03, 0.556E+04, 0.143E+03, 0.762E+05, 0.365E+05, 0.153E+04, 0.209E+05, 0.141E+05, 0.000E+00
    91, 0.940E+01, 0.104E+02, 0.000E+00, 0.213E+04, 0.148E+05, 0.238E+05, 0.208E+06, 0.393E+06, 0.212E+05, 0.338E+04, 0.162E+06, 0.307E+04, 0.238E+07, 0.610E+07, 0.251E+06, 0.380E+07, 0.206E+07, 0.000E+00
    51, 0.954E+01, 0.104E+02, 0.000E+00, 0.580E+03, 0.309E+04, 0.777E+04, 0.667E+05, 0.121E+06, 0.550E+04, 0.101E+04, 0.463E+05, 0.140E+04, 0.682E+06, 0.272E+07, 0.112E+06, 0.170E+07, 0.904E+06, 0.000E+00
    68, 0.104E+02, 0.104E+02, 0.559E+00, 0.670E+03, 0.238E+04, 0.515E+04, 0.421E+05, 0.811E+05, 0.588E+04, 0.105E+04, 0.339E+05, 0.245E+04, 0.575E+06, 0.344E+07, 0.748E+05, 0.197E+07, 0.139E+07, 0.446E+04
    54, 0.995E+01, 0.106E+02, 0.000E+00, 0.170E+03, 0.608E+03, 0.194E+04, 0.612E+04, 0.180E+05, 0.146E+04, 0.277E+03, 0.994E+04, 0.579E+03, 0.177E+06, 0.476E+06, 0.199E+05, 0.273E+06, 0.184E+06, 0.000E+00
    33, 0.968E+01, 0.103E+02, 0.000E+00, 0.117E+03, 0.687E+03, 0.120E+04, 0.107E+05, 0.183E+05, 0.116E+04, 0.196E+03, 0.634E+04, 0.279E+03, 0.111E+06, 0.666E+06, 0.278E+05, 0.382E+06, 0.257E+06, 0.000E+00
    80, 0.973E+01, 0.103E+02, 0.000E+00, 0.182E+02, 0.179E+03, 0.219E+03, 0.191E+04, 0.344E+04, 0.264E+03, 0.377E+02, 0.131E+04, 0.480E+02, 0.230E+05, 0.176E+06, 0.732E+04, 0.101E+06, 0.676E+05, 0.000E+00
    50, 0.956E+01, 0.112E+02, 0.000E+00, 0.181E+03, 0.360E+03, 0.351E+04, 0.993E+04, 0.199E+05, 0.872E+03, 0.340E+03, 0.648E+04, 0.171E+03, 0.921E+05, 0.187E+06, 0.719E+04, 0.107E+06, 0.727E+05, 0.000E+00
    58, 0.953E+01, 0.112E+02, 0.000E+00, 0.218E+04, 0.114E+05, 0.213E+05, 0.120E+06, 0.257E+06, 0.156E+05, 0.292E+04, 0.116E+06, 0.122E+04, 0.168E+07, 0.147E+07, 0.568E+05, 0.843E+06, 0.575E+06, 0.000E+00
    17, 0.100E+02, 0.105E+02, 0.166E+01, 0.812E+04, 0.413E+05, 0.770E+05, 0.528E+06, 0.119E+07, 0.840E+05, 0.336E+05, 0.590E+06, 0.919E+04, 0.705E+07, 0.112E+08, 0.291E+06, 0.504E+07, 0.568E+07, 0.163E+06
